tiporegistro,codformato,codcolumna,codcaptura,codsubcuenta,signo,valor,periodo
4,205,1,1,15,-,0,04/30/2019 12:00:00 AM
4,205,1,2,5,+,23,04/30/2019 12:00:00 AM
4,205,1,3,5,+,141,04/30/2019 12:00:00 AM
4,205,2,1,5,+,8,04/30/2019 12:00:00 AM
4,205,2,1,10,+,0,04/30/2019 12:00:00 AM
4,205,2,1,15,-,0,04/30/2019 12:00:00 AM
4,205,2,2,5,+,8,04/30/2019 12:00:00 AM
4,205,2,3,5,+,23,04/30/2019 12:00:00 AM
4,205,3,1,5,+,"1,089",04/30/2019 12:00:00 AM
4,205,3,1,10,+,0,04/30/2019 12:00:00 AM
4,205,3,1,15,-,1,04/30/2019 12:00:00 AM
4,205,3,2,5,+,"1,088",04/30/2019 12:00:00 AM
4,205,3,3,5,+,"10,854",04/30/2019 12:00:00 AM
4,205,4,1,5,+,656,04/30/2019 12:00:00 AM
4,205,4,1,10,+,0,04/30/2019 12:00:00 AM
4,205,4,1,15,-,2,04/30/2019 12:00:00 AM
4,205,4,2,5,+,654,04/30/2019 12:00:00 AM
4,205,4,3,5,+,"3,541",04/30/2019 12:00:00 AM
4,205,5,1,5,+,91,04/30/2019 12:00:00 AM
4,205,5,1,10,+,0,04/30/2019 12:00:00 AM
4,205,5,1,20,+,0,04/30/2019 12:00:00 AM
4,205,5,1,25,-,0,04/30/2019 12:00:00 AM
4,205,5,2,5,+,91,04/30/2019 12:00:00 AM
4,205,5,3,5,+,473,04/30/2019 12:00:00 AM
4,205,6,1,5,+,531,04/30/2019 12:00:00 AM
4,205,6,1,10,+,1,04/30/2019 12:00:00 AM
4,205,6,1,20,+,1,04/30/2019 12:00:00 AM
4,205,6,1,25,-,3,04/30/2019 12:00:00 AM
4,205,6,2,5,+,530,04/30/2019 12:00:00 AM
4,205,6,3,5,+,"4,797",04/30/2019 12:00:00 AM
4,205,7,1,5,+,"2,398",04/30/2019 12:00:00 AM
4,205,7,1,10,+,1,04/30/2019 12:00:00 AM
4,205,7,1,15,-,3,04/30/2019 12:00:00 AM
4,205,7,1,20,+,1,04/30/2019 12:00:00 AM
4,205,7,1,25,-,3,04/30/2019 12:00:00 AM
4,205,7,2,5,+,"2,394",04/30/2019 12:00:00 AM
4,205,7,3,5,+,"19,829",04/30/2019 12:00:00 AM
4,205,1,1,5,+,23,03/30/2019 12:00:00 AM
